county,name,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""06001""","""Alameda""",1046.00,1584983.00,558907.00,473018.82,46,55,67,29,37,45,17,19,23,7.30,43.54,1.73,2,2,17714,15565,17019,12,11,12,13686,12133,12392,9861,8741,8703,3398,2986,3264,427,406,425,174,165,173,2.7,5.2,4.19,1.18,39807,53,49839,92,11,77,2729,2000,2101,1434,53,47
"""06003""","""Alpine""",2.00,1131.00,358.00,472525.15,74,90,74,42,52,41,33,38,33,10.70,0.01,2.29,2,2,25525,22742,25571,1,1,1,17369,16114,17569,12450,11733,12642,4895,4361,4904,24,20,23,20,17,20,0.5,0.2,0.34,0.00,569,61,639,79,938,1,5914,1837,2095,891,79,21
"""06005""","""Amador""",28.00,36995.00,13925.00,380529.00,60,73,63,33,41,33,28,32,31,9.34,0.99,1.99,2,2,22495,20025,25565,0,0,0,15151,13858,16575,10833,10012,11668,4314,3840,4902,5,5,4,3,3,3,0.9,0.4,0.87,0.04,2266,82,2134,83,215,8,4710,1495,1540,879,76,24
"""06007""","""Butte""",195.00,222564.00,85318.00,1047336.14,64,75,53,34,42,27,31,33,27,8.56,14.25,1.71,2,2,20901,18674,22255,2,2,2,13372,11595,14342,9328,7974,10041,4008,3582,4268,37,38,33,33,34,30,1.7,2.9,0.51,0.08,8103,63,8275,85,70,9,4555,1225,1239,865,59,41
"""06009""","""Calaveras""",30.00,44767.00,18060.00,652807.32,61,74,62,34,42,33,30,34,31,9.59,0.82,2.08,2,2,23421,20864,25771,0,0,0,15804,14487,16916,11309,10484,11971,4491,4001,4942,3,3,3,2,2,2,0.7,0.3,0.49,0.03,1955,85,1701,83,279,7,4425,1491,1596,987,79,21
"""06011""","""Colusa""",20.00,21396.00,6966.00,736465.54,59,71,57,29,36,28,31,35,29,10.24,10.67,2.06,2,2,24741,22287,23980,0,0,0,15954,14600,15729,11205,10321,11128,4744,4274,4598,4,5,3,3,4,2,1.3,0.3,0.69,0.01,1949,77,2009,83,167,3,4800,1247,1319,817,62,38
"""06013""","""Contra Costa""",636.00,1096068.00,384646.00,462554.96,50,60,74,32,40,48,18,21,25,8.68,26.78,1.91,2,2,21130,18701,20399,5,4,4,15030,13375,13669,10884,9704,9669,4053,3588,3912,92,84,89,37,34,36,3.1,4.2,3.57,0.83,21493,67,22934,90,17,60,1961,2169,2254,1489,65,35
"""06015""","""Del Norte""",19.00,27788.00,9420.00,644025.91,65,76,52,33,41,25,32,35,27,7.69,6.51,1.66,2,2,20106,17930,22825,3,3,2,13021,11388,14747,9051,7829,10275,3856,3439,4377,115,119,96,70,72,58,1.4,2.5,1.40,0.01,2326,64,2169,80,113,4,5518,1122,1229,794,61,39
"""06017""","""El Dorado""",124.00,182093.00,67086.00,1093055.44,65,77,71,38,48,43,27,30,29,9.82,7.55,2.02,2,2,24320,21697,24222,1,1,1,16196,14186,15519,11522,10018,10866,4666,4161,4645,9,7,8,5,4,4,0.7,2.5,0.39,0.06,4976,81,4619,84,98,9,4606,1912,2019,1074,74,26
"""06019""","""Fresno""",589.00,956749.00,296305.00,3813642.91,64,75,53,33,41,28,31,34,26,8.89,21.78,1.83,2,2,21840,19523,21208,2,2,2,14216,12331,14116,9975,8530,10001,4188,3745,4067,53,56,48,68,72,62,2.2,1.7,0.94,0.08,16878,68,19691,90,46,8,5533,1236,1202,992,53,47
"""06021""","""Glenn""",23.00,28029.00,9497.00,840925.22,70,84,54,34,43,25,36,41,29,9.42,5.61,1.87,2,2,23475,21115,23972,0,0,0,14153,12925,15414,9645,8866,10814,4503,4050,4597,6,8,3,5,7,3,1.3,0.9,0.60,0.01,2312,73,2056,83,97,4,5353,1126,1217,663,62,38
"""06023""","""Humboldt""",107.00,135034.00,53036.00,2283500.58,68,79,55,36,45,28,32,35,27,8.51,11.09,1.71,2,2,20968,18899,22313,2,2,2,13370,11654,14376,9331,8010,10081,4021,3625,4279,18,20,16,16,18,15,1.4,3.2,0.49,0.02,4539,68,4987,82,92,5,5253,1269,1386,927,55,45
"""06025""","""Imperial""",96.00,178206.00,46452.00,2673030.06,68,79,52,32,40,25,36,39,27,10.00,17.13,1.84,2,2,24322,21848,23207,0,0,0,14666,12891,14724,10002,8700,10273,4664,4191,4450,0,0,0,0,0,0,1.6,1.1,0.91,0.02,5509,65,6896,86,47,3,5869,1105,1167,808,55,45
"""06027""","""Inyo""",16.00,18373.00,7957.00,6515789.02,65,77,58,34,43,29,31,35,29,8.47,3.76,1.88,2,2,21907,19563,24047,1,1,1,14440,12717,15556,10239,8964,10943,4201,3753,4611,1,1,1,1,1,1,1.6,1.4,0.77,0.00,1802,60,2143,82,353,1,6394,1305,1499,808,64,36
"""06029""","""Kern""",456.00,865736.00,259700.00,5204460.62,60,71,54,30,38,27,31,33,27,9.34,19.46,1.95,2,2,22992,20606,22142,1,1,1,15066,13096,14756,10631,9116,10488,4409,3953,4246,26,27,22,31,32,26,2.6,0.3,1.26,0.05,12090,72,13655,90,38,10,3625,1228,1223,969,57,43
"""06031""","""Kings""",81.00,150998.00,41554.00,889228.30,62,72,53,30,38,26,31,34,27,9.46,15.88,1.85,2,2,22814,20443,22313,1,1,1,14485,12676,14556,10092,8736,10266,4375,3921,4279,19,19,12,23,23,14,2.8,0.8,1.80,0.05,7107,71,6048,87,41,8,3939,1177,1162,924,51,49
"""06033""","""Lake""",48.00,64158.00,26993.00,804151.44,75,90,54,40,51,27,35,40,28,8.29,4.66,1.67,2,2,20205,18125,23466,2,2,2,12543,11378,15120,8617,7846,10580,3876,3477,4500,50,55,39,31,33,24,2.1,1.0,0.41,0.03,2580,66,1898,82,77,9,4120,1199,1231,940,63,37
"""06035""","""Lassen""",25.00,32645.00,9707.00,2906357.24,57,68,58,30,38,29,27,31,29,8.63,1.91,1.81,2,2,20038,17964,24191,3,3,2,13710,12582,15739,9848,9117,11083,3843,3445,4639,19,20,17,19,20,17,1.0,1.9,0.34,0.00,959,74,1012,78,276,2,5843,1289,1468,931,65,35
"""06037""","""Los Angeles""",6421.00,10038388.00,3263069.00,2597182.32,57,67,61,35,44,39,22,23,22,6.83,45.49,1.70,2,2,16856,14779,15582,13,13,13,13237,11336,11909,9688,8198,8613,3279,2873,3030,270,265,266,320,313,315,3.2,5.0,3.05,1.26,59230,50,82082,94,11,70,3066,1771,1889,1320,46,54
"""06039""","""Madera""",80.00,153187.00,43159.00,1367741.49,67,79,57,34,42,28,34,37,29,9.78,10.01,1.97,2,2,23929,21484,24071,0,1,0,15320,13505,15793,10726,9376,11174,4589,4121,4616,6,7,2,7,8,3,1.3,0.1,0.57,0.03,5128,81,5118,87,140,6,5327,1265,1280,880,61,39
"""06041""","""Marin""",174.00,258349.00,103670.00,333114.90,56,67,82,38,47,57,18,20,25,8.27,23.55,1.88,2,2,21304,18774,20572,4,4,4,14896,13282,13550,10760,9639,9556,4087,3601,3945,49,41,49,24,20,24,2.4,5.1,1.12,0.31,15454,62,19050,89,30,22,4837,2579,2715,1682,62,38
"""06043""","""Mariposa""",17.00,17789.00,7345.00,927243.75,64,75,59,33,41,29,33,36,31,9.41,0.25,2.05,2,2,22916,20494,25518,0,1,0,15567,13812,16851,11164,9872,11949,4394,3931,4893,9,9,8,7,8,7,1.6,0.1,0.66,0.01,1175,72,1159,82,410,4,5099,1296,1341,812,71,29
"""06045""","""Mendocino""",78.00,87544.00,34017.00,2244064.71,71,84,59,38,48,31,33,36,28,8.97,7.49,1.83,2,2,22134,19947,23499,1,2,1,14247,12514,15223,9960,8639,10678,4244,3826,4506,43,48,39,26,29,23,1.2,1.3,0.29,0.02,2538,71,2969,82,121,4,5014,1379,1384,987,58,42
"""06047""","""Merced""",144.00,263885.00,77692.00,1238377.58,67,78,53,32,40,25,35,38,28,9.65,15.25,1.90,2,2,23435,21138,22760,1,1,1,14860,12979,14855,10342,8896,10470,4494,4055,4364,24,28,20,17,20,14,2.7,0.4,0.38,0.06,7614,75,7224,88,51,7,4396,1132,1199,908,52,48
"""06049""","""Modoc""",12.00,9184.00,3745.00,2505854.24,65,78,51,29,36,20,37,42,30,8.57,1.57,1.89,2,2,21331,19220,24606,2,2,2,13891,12792,16405,9776,9081,11666,4092,3687,4718,23,24,21,3,3,3,0.6,2.3,0.28,0.00,768,84,681,76,300,2,5449,907,959,384,74,26
"""06051""","""Mono""",17.00,14146.00,4906.00,1951320.88,50,60,52,25,32,27,28,32,29,9.24,6.30,2.06,2,2,23852,21263,23112,3,2,3,15831,14444,15443,11220,10335,10976,4574,4078,4432,37,31,35,41,35,39,0.7,0.6,0.92,0.00,1363,51,2211,82,371,2,5343,1204,846,822,59,41
"""06053""","""Monterey""",232.00,428441.00,125402.00,2099586.15,61,73,64,35,44,38,26,29,27,9.49,29.09,1.98,2,2,23264,20873,21537,2,2,2,15314,13796,14312,10796,9740,10133,4461,4003,4130,57,53,48,33,30,28,2.6,0.5,0.92,0.06,9937,63,11310,89,60,8,4331,1714,1722,1374,49,51
"""06055""","""Napa""",106.00,140295.00,49494.00,478954.77,56,66,71,33,42,44,22,24,27,9.43,23.61,2.01,2,2,22919,20370,22042,2,1,2,15895,13830,14594,11469,9900,10339,4397,3906,4227,29,23,28,23,18,22,1.1,1.1,0.54,0.10,11631,68,13688,90,77,8,5298,1984,2110,1435,60,40
"""06057""","""Nevada""",75.00,98570.00,40993.00,612978.61,61,74,66,36,45,38,26,30,29,8.78,5.15,1.91,2,2,22480,20063,24462,1,1,1,14693,13340,15637,10378,9488,10942,4311,3847,4691,4,4,4,2,2,2,1.9,1.5,0.45,0.07,3642,82,3326,83,80,12,3492,1703,1737,1146,72,28
"""06059""","""Orange""",1822.00,3116069.00,1009353.00,506110.02,66,78,71,42,53,47,24,25,24,8.20,38.52,1.83,2,2,19858,17514,18427,4,4,4,14374,12286,12916,10431,8795,9251,3809,3359,3534,133,132,132,102,101,100,4.6,4.8,5.61,1.99,37394,51,56556,93,12,131,1780,2130,2088,1576,58,42
"""06061""","""Placer""",212.00,366280.00,135456.00,900533.32,63,75,69,38,47,42,25,28,27,9.27,15.36,1.90,2,2,22711,20163,22621,1,1,1,15212,13205,14564,10839,9323,10211,4357,3866,4338,16,15,15,9,8,9,1.5,4.4,1.02,0.15,12263,78,14361,87,40,15,3799,1899,2000,1320,70,30
"""06063""","""Plumas""",22.00,18966.00,8217.00,1633951.19,62,73,57,31,39,28,31,35,30,8.36,0.98,1.92,2,2,22186,19934,24965,2,2,2,14799,13070,16277,10472,9171,11419,4254,3824,4787,72,75,71,52,54,51,0.6,1.7,0.38,0.01,861,80,850,79,179,4,5296,1240,1226,773,72,28
"""06065""","""Riverside""",1030.00,2298032.00,699232.00,4612085.31,63,75,63,35,44,36,28,31,27,9.42,19.74,1.96,2,2,23330,20795,21831,2,2,2,15219,13654,14419,10690,9613,10183,4474,3988,4186,56,53,49,39,37,35,1.6,2.2,1.41,0.15,15330,70,15616,89,35,13,4865,1627,1670,1313,65,35
"""06067""","""Sacramento""",912.00,1465832.00,522596.00,617561.17,52,61,57,29,37,33,23,24,24,8.05,28.68,1.72,2,2,19465,17238,19404,5,5,5,13648,11723,13050,9801,8306,9221,3734,3306,3721,112,112,109,94,94,91,2.9,5.9,2.45,0.85,25837,65,32319,90,20,51,3696,1465,1527,1128,55,45
"""06069""","""San Benito""",40.00,57557.00,17198.00,888773.49,42,50,70,24,30,42,18,21,28,10.62,21.13,2.22,2,2,25408,22750,23367,1,1,1,17587,15948,15309,12699,11577,10820,4874,4364,4481,14,7,8,17,8,10,1.3,0.2,0.15,0.02,6507,79,5458,87,71,5,5286,1889,2040,1397,63,37
"""06071""","""San Bernardino""",1092.00,2094769.00,614325.00,12836508.69,59,70,59,32,40,33,27,30,26,9.20,21.99,1.92,2,2,22475,20274,21233,2,2,2,14814,13213,13966,10435,9251,9828,4310,3888,4072,69,74,66,42,44,40,2.5,3.5,1.33,0.05,18032,70,20580,89,44,6,6883,1481,1474,1133,60,40
"""06073""","""San Diego""",1794.00,3223096.00,1094157.00,2692266.86,57,67,66,35,44,42,22,24,24,8.15,34.68,1.79,2,2,19847,17424,18846,7,7,7,14250,12271,13053,10193,8696,9198,3807,3341,3614,249,234,241,229,215,222,2.4,4.3,1.58,0.41,28147,52,32916,91,23,27,3339,1886,1902,1446,53,47
"""06075""","""San Francisco""",580.00,840763.00,353287.00,30012.33,41,50,61,30,37,45,12,13,16,3.91,68.07,1.13,1,1,10301,8305,9677,38,36,38,9501,8417,8458,6441,5801,5522,1958,1579,1839,1103,1037,1097,803,755,799,8.8,8.5,19.63,11.77,96619,20,198588,94,4,389,847,2036,2121,1600,36,64
"""06077""","""San Joaquin""",395.00,708554.00,219073.00,890479.79,60,71,58,33,41,32,28,31,26,9.04,24.64,1.90,2,2,22285,19926,21369,2,2,2,14658,13158,14201,10341,9291,10064,4273,3821,4098,43,45,39,31,33,28,2.5,1.8,0.94,0.25,15787,74,15805,90,32,20,4049,1444,1464,1173,57,43
"""06079""","""San Luis Obispo""",162.00,276517.00,103576.00,2112390.79,60,71,67,35,44,39,25,27,27,9.16,15.75,1.90,2,2,22174,19776,22784,1,1,1,15120,13210,14799,10855,9408,10418,4254,3792,4369,12,10,12,8,7,8,1.8,1.2,0.42,0.05,5934,67,6614,86,59,7,4404,1773,1845,1297,58,42
"""06081""","""San Mateo""",462.00,748731.00,259711.00,287023.20,54,65,79,37,46,55,18,20,24,8.31,44.45,1.80,2,2,19306,16949,18588,8,7,8,14344,12728,13017,10299,9161,9117,3704,3251,3564,342,315,336,122,113,120,2.8,5.3,2.70,0.90,29819,57,39862,91,15,47,3184,2489,2654,1749,59,41
"""06083""","""Santa Barbara""",312.00,435850.00,142713.00,1750475.06,60,71,69,36,45,43,24,26,26,9.13,33.02,1.96,2,2,22349,19909,21157,2,2,2,15496,13437,14149,11161,9578,10048,4287,3818,4057,47,41,44,40,35,37,1.5,1.0,0.96,0.08,11220,58,14608,90,34,8,5385,1917,1822,1460,52,48
"""06085""","""Santa Clara""",1075.00,1868149.00,621463.00,825737.87,46,56,78,30,38,54,16,18,24,8.43,42.20,1.98,2,2,20407,18502,18834,5,5,5,15391,13617,13141,11303,9907,9366,3915,3549,3612,172,161,164,118,110,112,2.1,2.9,2.22,0.75,35979,54,52005,93,13,49,3751,2417,2565,1748,57,43
"""06087""","""Santa Cruz""",195.00,269278.00,94802.00,284904.18,59,70,72,37,46,46,23,25,26,8.71,22.97,1.93,2,2,21641,19213,21051,4,3,4,15253,13210,14187,10990,9428,10039,4152,3684,4037,111,98,111,70,62,70,2.1,1.2,1.01,0.33,12434,64,14435,90,36,42,2983,2070,2158,1446,58,42
"""06089""","""Shasta""",131.00,178942.00,69375.00,2416240.88,65,77,56,35,43,29,31,34,27,8.96,8.24,1.77,2,2,21505,19214,23025,1,2,1,13766,11998,14784,9615,8283,10345,4124,3686,4415,27,29,24,24,26,21,1.1,2.9,0.37,0.03,5497,70,6633,84,81,5,4744,1293,1357,941,62,38
"""06091""","""Sierra""",5.00,3021.00,1252.00,610025.15,80,95,67,43,53,34,37,42,33,7.10,0.06,2.12,2,2,22975,20606,25884,1,1,1,15975,14251,17560,11548,10276,12574,4406,3953,4964,21,22,22,18,18,19,0.7,0.5,0.63,0.00,565,84,574,78,283,3,4461,1525,1652,630,78,22
"""06093""","""Siskiyou""",37.00,43895.00,19133.00,4017839.91,73,87,55,37,46,25,36,41,29,8.74,3.14,1.79,2,2,20978,18989,24024,3,3,2,13295,12192,15725,9226,8500,11079,4024,3643,4607,45,49,39,14,16,12,1.1,1.3,0.75,0.00,1124,73,1041,78,224,3,5312,1144,1281,819,64,36
"""06095""","""Solano""",285.00,425753.00,143612.00,525933.57,53,63,64,31,38,38,23,25,26,9.10,24.81,1.91,2,2,22122,19664,21187,3,3,3,15198,13141,13964,10901,9321,9851,4244,3771,4063,54,50,50,24,23,23,2.8,3.5,2.48,0.27,15189,71,13873,88,22,28,2836,1706,1668,1401,60,40
"""06097""","""Sonoma""",386.00,495078.00,187782.00,1008535.31,57,68,67,34,43,41,24,26,27,8.89,21.95,1.92,2,2,22123,19778,22048,1,1,1,15238,13204,14497,10968,9387,10243,4244,3793,4228,25,24,26,18,17,18,1.9,1.3,0.83,0.19,12454,67,13123,89,46,19,3985,1828,1904,1318,59,41
"""06099""","""Stanislaus""",308.00,527367.00,169196.00,956511.38,60,72,56,32,39,29,29,32,26,9.01,23.66,1.88,2,2,22043,19758,21474,2,2,2,14509,13016,14277,10231,9173,10113,4227,3789,4118,52,54,47,60,62,54,1.8,1.5,0.78,0.18,14782,75,15755,90,39,12,5226,1319,1365,1024,57,43
"""06101""","""Sutter""",62.00,95247.00,31917.00,385542.60,59,69,55,30,38,28,29,32,27,9.36,20.04,1.87,2,2,22371,19969,22484,1,1,1,14520,12628,14728,10202,8769,10393,4290,3831,4312,28,28,23,25,25,21,2.0,1.0,0.74,0.08,9642,72,9394,88,53,8,4165,1262,1413,978,59,41
"""06103""","""Tehama""",43.00,63152.00,23704.00,1887813.38,67,78,53,32,41,25,35,39,29,9.30,4.06,1.86,2,2,22556,20152,23964,1,2,1,14478,12703,15529,10131,8814,10914,4325,3866,4595,22,23,20,15,16,14,1.1,1.4,0.27,0.01,2118,66,1942,81,181,3,5722,1110,1091,833,68,32
"""06105""","""Trinity""",13.00,13373.00,5484.00,2034740.07,79,95,56,39,49,26,40,46,31,8.74,0.49,1.89,2,2,21973,19837,25037,3,3,2,14000,12886,16482,9757,9049,11655,4215,3805,4801,29,32,26,6,6,5,0.9,0.9,0.48,0.00,540,74,515,77,477,2,6227,1150,1195,765,69,31
"""06107""","""Tulare""",270.00,454033.00,133570.00,3087523.88,68,79,52,32,41,25,36,39,27,9.38,14.82,1.93,2,2,23398,21121,22443,2,2,1,15014,13060,14779,10480,8957,10435,4487,4052,4304,47,51,40,49,54,42,1.1,0.8,0.44,0.04,7829,76,9288,88,62,6,6121,1135,1175,893,57,43
"""06109""","""Tuolumne""",48.00,54079.00,22133.00,1421377.56,57,69,56,31,38,29,28,32,29,8.43,3.02,1.84,2,2,21090,18795,24225,1,1,1,14069,12824,15663,10000,9194,10994,4044,3604,4646,25,25,23,15,14,14,1.1,1.0,0.43,0.02,2880,76,2485,83,83,5,4648,1285,1355,802,68,32
"""06111""","""Ventura""",429.00,840833.00,268969.00,1179527.19,54,65,74,33,41,47,22,24,27,9.66,29.16,2.11,2,2,23768,21125,21674,2,1,2,16632,14926,14559,12032,10842,10369,4560,4052,4156,40,31,33,32,25,27,1.6,0.8,1.41,0.23,15153,64,17778,92,24,19,4182,2108,2160,1596,64,36
"""06113""","""Yolo""",122.00,207320.00,71997.00,649450.02,54,63,59,31,38,34,24,25,25,8.53,26.86,1.77,2,2,20501,18200,20430,4,4,4,14148,12233,13544,10129,8662,9543,3933,3490,3918,86,81,83,85,80,81,2.1,3.4,1.33,0.11,14391,59,21059,89,60,8,4997,1538,1588,1142,52,48
"""06115""","""Yuba""",49.00,73437.00,25139.00,404506.99,60,71,56,31,38,28,30,32,28,8.59,11.34,1.90,2,2,22933,20536,23014,2,2,1,14757,12903,14974,10332,8936,10538,4398,3939,4413,28,28,23,25,25,21,2.3,1.0,0.64,0.06,5512,70,4741,85,91,11,3744,1276,1239,906,58,42
